Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
e7ecbec9550e6bb21a3288e45187b37f599196566d2dcd6e8c22d87980f332c0,2017-02,City of London Police,City of London Police,-0.099436,51.519901,On or near Hayne Street,E01032740,City of London 001G,Violence and sexual offences,Unable to prosecute suspect,
c673df406d1086870ffc3a25c34bc5b793dde97bee74e333252585d1044be317,2017-02,City of London Police,City of London Police,-0.110592,51.516062,On or near Bream'S Buildings,E01032740,City of London 001G,Violence and sexual offences,Formal action is not in the public interest,
02249f69c43149ffe6e067d1ed3a911e880a56ceab40761796bb3c7d3da87197,2017-02,City of London Police,City of London Police,-0.104281,51.516032,On or near Bear Alley,E01032740,City of London 001G,Violence and sexual offences,Unable to prosecute suspect,
e3f9ce6cf98b62288b083fe63f6cadf6e843c24375a7a35d18d0f1f7e454cbae,2017-02,City of London Police,City of London Police,-0.108231,51.513928,On or near Pleydell Street,E01032740,City of London 001G,Violence and sexual offences,Status update unavailable,
f37b29f962e21084e6c2bbef3cfd9c10a6a6056814f4b022ec1cfbf5bf06bd63,2017-02,City of London Police,City of London Police,-0.101794,51.516207,On or near Newgate Street,E01032740,City of London 001G,Violence and sexual offences,Unable to prosecute suspect,
c0ee9d7004ecf0af4f365c315535921a5fcfea1ae33683544e0d0da4fb89d53b,2017-02,City of London Police,City of London Police,-0.101794,51.516207,On or near Newgate Street,E01032740,City of London 001G,Violence and sexual offences,Status update unavailable,
9238d29aaaa73a5ba17597bf61230e9aad7fe0fa7ab8fc9b1cd7b8f497086113,2017-02,City of London Police,City of London Police,-0.104281,51.516032,On or near Bear Alley,E01032740,City of London 001G,Violence and sexual offences,Investigation complete; no suspect identified,
dcc738312a7a44266f1a8d159ceb94d5b776449e86fd89f19c1d0ba7f4aaec42,2017-02,City of London Police,City of London Police,-0.105134,51.513869,On or near Bride Lane,E01032740,City of London 001G,Violence and sexual offences,Status update unavailable,
e0c2fa7751569829a705a150d40646fb3e07530000392394af4820a8966a9e4a,2017-02,City of London Police,City of London Police,-0.102812,51.517042,On or near Police Station,E01032740,City of London 001G,Other crime,Awaiting court outcome,
de2fa8fd6add21be0aecec42ae192b488ff3c8060e1431410f5e4acbc2962308,2017-02,City of London Police,City of London Police,-0.109709,51.517909,On or near High Holborn,E01032740,City of London 001G,Other crime,Investigation complete; no suspect identified,
2fa63316e66833dad7ef1fa37bcceb5b33a5d0bd9f23c1a4d606e6f0bc58c095,2017-02,City of London Police,City of London Police,-0.097929,51.521810,On or near Glasshouse Yard,E01033490,Islington 022H,Theft from the person,Investigation complete; no suspect identified,
6031e95c43d82d3a327968ec78dd6b840be1fc3f170c46b9b32ff5006767bda1,2017-02,City of London Police,City of London Police,-0.097929,51.521810,On or near Glasshouse Yard,E01033490,Islington 022H,Theft from the person,Investigation complete; no suspect identified,
,2017-02,City of London Police,City of London Police,-0.086655,51.519783,On or near Lackington Street,E01002704,Islington 023D,Anti-social behaviour,,
2edef4ff6eb83f251c21973ee4670742a0e02cf223d6c1f734128cc15eed97d5,2017-02,City of London Police,City of London Police,-0.088767,51.520303,On or near Finsbury Street,E01002704,Islington 023D,Criminal damage and arson,Investigation complete; no suspect identified,
9b020c0c463fb59cb804dc78025b8d814f7c088d443244ab8231b91cb91822bb,2017-02,City of London Police,City of London Police,-0.091732,51.521080,On or near Nightclub,E01002704,Islington 023D,Drugs,Offender sent to prison,
8c8c1f46f513b1991a4dc3bbaf250930360c05e7cf346e9fe33d75fd8376b29b,2017-02,City of London Police,City of London Police,-0.091732,51.521080,On or near Nightclub,E01002704,Islington 023D,Other theft,Investigation complete; no suspect identified,
,2017-02,City of London Police,City of London Police,-0.076240,51.504245,On or near A100,E01032640,Southwark 003H,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.079080,51.519615,On or near Bishopsgate,E01004307,Tower Hamlets 015B,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.079080,51.519615,On or near Bishopsgate,E01004307,Tower Hamlets 015B,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.077029,51.510148,On or near Trinity Square,E01004293,Tower Hamlets 027B,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Anti-social behaviour,,
4182803de0aa05fb1e7b3621cec23cbb367a9dcc5187886ba991438e097f9705,2017-02,City of London Police,City of London Police,-0.078779,51.508971,On or near Gloucester Court,E01004293,Tower Hamlets 027B,Other theft,Investigation complete; no suspect identified,
f3b3af5b00966ddba2552481923b8cadcb0cfe0810c4ae68a147a0d76aef8a02,2017-02,City of London Police,City of London Police,-0.078779,51.508971,On or near Gloucester Court,E01004293,Tower Hamlets 027B,Other theft,Investigation complete; no suspect identified,
2ec8405c3d1a8a959ea235dc49e0cbda1570e646832e54f301db53bdc8fe1bbd,2017-02,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Other theft,Investigation complete; no suspect identified,
633ce156cf52413703aef21b2fd152b8b141bc04743c827604253490c2638905,2017-02,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Other theft,Investigation complete; no suspect identified,
