Full fund name;Fund ISIN;Fund code;Asset Class;Morningstar rating;Morningstar category;OCF/TER(%);Eligible for ISA;Eligible for SIPP;Eligible for general investment account;Performance in % (Current Yr-4);Performance in % (Current Yr-3);Performance in % (Current Yr-2);Performance in % (Current Yr-1);Performance in % (Current Yr)
JPM US Select Fund C - Net Income;GB00B2Q5DQ98;SPSLI;North America;;US Large-Cap Blend Equity;0.93;Yes;Yes;Yes;;12.64;16.75;13.15;26.07
Franklin UK Smaller Companies Fund W (acc) GBP;GB00B7FFF708;BWUSW;UK;;UK Small-Cap Equity;0.83;Yes;Yes;Yes;36.28;21.60;19.10;-10.70;37.40
Aviva Investors Multi-Strategy Target Return Fund Class 2;GB00BMJ6DT26;NUMTA;Alternatives;;Alt - Multistrategy;0.85;Yes;Yes;Yes;;;;-0.22;1.75
Royal London UK Government Bond Fund M Inc;GB00B7QFPL36;ROVMI;Bonds;;GBP Government Bond;0.43;Yes;Yes;Yes;-2.66;1.52;6.62;11.44;-0.39
Royal London UK Government Bond Fund M Acc;GB00B881TW52;ROVMA;Bonds;;GBP Government Bond;0.44;Yes;Yes;Yes;-2.85;1.52;6.58;11.56;-0.51
Fidelity MoneyBuilder Income Fund Y-Income-Gross;GB00B3Z9TL66;YGRCB;Bonds;;GBP Corporate Bond;0.56;Yes;Yes;Yes;5.96;6.22;5.59;6.84;5.14
M&G European High Yield Bond I Inc;GB00B7FS2455;MGELI;Bonds;;Europe High Yield Bond;0.92;Yes;Yes;Yes;20.36;7.27;-12.41;16.91;16.38
M&G Optimal Income Fund I Acc;GB00B1H05718;MGOTA;Bonds;4;GBP Cautious Allocation;0.91;Yes;Yes;Yes;10.02;9.51;0.85;1.21;10.36
Baillie Gifford Japanese Fund B Inc;GB0006010945;BFJBI;Japan;;Japan Large-Cap Equity;0.68;Yes;Yes;Yes;37.67;3.49;16.38;9.48;34.67
Invesco Perpetual Global Targeted Returns Y Acc;GB00BJ04HL49;IGTYA;Alternatives;;Alt - Multistrategy;0.82;Yes;Yes;Yes;;;5.24;2.15;5.43
Invesco Perpetual European Equity Income Y Acc;GB00BJ04G289;IEIYA;Europe;;Europe ex-UK Large-Cap Equity;0.89;Yes;Yes;Yes;;;3.52;-0.35;34.92
Invesco Perpetual European Equity Income Y Inc;GB00BJ04G396;IEIYI;Europe;;Europe ex-UK Large-Cap Equity;0.89;Yes;Yes;Yes;;;3.50;-0.34;34.92
Invesco Perpetual Global Equity Income Y Inc;GB00BJ04H253;IGIYI;Global;;Global Equity Income;0.87;Yes;Yes;Yes;;;8.48;6.04;25.03
Invesco Perpetual Global Equity Income Y Acc;GB00BJ04H147;IGIYA;Global;;Global Equity Income;0.87;Yes;Yes;Yes;;;8.48;6.05;25.02
Stewart Investors Asia Pacific Leaders B Acc;GB0033874768;FTALB;Asia and Emerging Markets;;Asia-Pacific ex-Japan Equity;0.88;Yes;Yes;Yes;16.32;5.21;15.69;11.61;14.50
